transaction_id,account_id,transaction_datetime,transaction_type,direction,amount_gbp,original_amount,original_currency,counterparty_name,counterparty_account_id,counterparty_bank_bic,counterparty_country,counterparty_is_high_risk_jurisdiction,payment_reference,channel,is_international,transaction_status
TXN-2024-0000001,ACC-UK-000001,2024-01-25 09:00:00,BACS,CREDIT,1833.33,1833.33,GBP,Self-Employed,ACC-EMP-82357,LOYDGB2L,GB,False,SALARY,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000002,ACC-UK-000001,2024-01-03 08:00:00,BACS,DEBIT,1418.52,0,GBP,Dawson Lettings Ltd,ACC-PROP-57400,HSBCGB2L,GB,False,RENT,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000003,ACC-UK-000001,2024-01-06 07:30:00,BACS,DEBIT,138.64,0,GBP,British Gas,ACC-UTIL-96673,HBUKGB4B,GB,False,WATER BILL,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000004,ACC-UK-000001,2024-01-07 07:30:00,BACS,DEBIT,177.93,0,GBP,Thames Water,ACC-UTIL-23238,NWBKGB2L,GB,False,ELECTRIC BILL,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000005,ACC-UK-000001,2024-01-07 07:30:00,BACS,DEBIT,103.48,0,GBP,EDF Energy,ACC-UTIL-31319,LOYDGB2L,GB,False,GAS BILL,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000006,ACC-UK-000001,2024-01-12 13:00:00,CARD_PAYMENT,DEBIT,113.72,0,GBP,Lidl,ACC-RET-99593,BARCGB22,GB,False,CARD PAYMENT,MOBILE_APP,False,COMPLETED
TXN-2024-0000007,ACC-UK-000001,2024-01-20 20:00:00,CARD_PAYMENT,DEBIT,58.83,0,GBP,Lidl,ACC-RET-42087,HBUKGB4B,GB,False,CARD PAYMENT,MOBILE_APP,False,COMPLETED
TXN-2024-0000008,ACC-UK-000001,2024-01-15 16:00:00,CARD_PAYMENT,DEBIT,69.69,0,GBP,Lidl,ACC-RET-83000,HBUKGB4B,GB,False,CARD PAYMENT,MOBILE_APP,False,COMPLETED
TXN-2024-0000009,ACC-UK-000001,2024-01-22 15:00:00,CARD_PAYMENT,DEBIT,132.71,0,GBP,Aldi,ACC-RET-17331,HBUKGB4B,GB,False,CARD PAYMENT,MOBILE_APP,False,COMPLETED
TXN-2024-0000010,ACC-UK-000001,2024-02-25 09:00:00,BACS,CREDIT,1833.33,1833.33,GBP,Self-Employed,ACC-EMP-51347,NWBKGB2L,GB,False,SALARY,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000011,ACC-UK-000001,2024-02-02 08:00:00,BACS,DEBIT,866.19,0,GBP,Jennings Lettings Ltd,ACC-PROP-84341,LOYDGB2L,GB,False,RENT,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000012,ACC-UK-000001,2024-02-06 07:30:00,BACS,DEBIT,131.76,0,GBP,Scottish Power,ACC-UTIL-94259,NWBKGB2L,GB,False,WATER BILL,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000013,ACC-UK-000001,2024-02-06 07:30:00,BACS,DEBIT,77.08,0,GBP,Thames Water,ACC-UTIL-83579,HSBCGB2L,GB,False,ELECTRIC BILL,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000014,ACC-UK-000001,2024-02-07 07:30:00,BACS,DEBIT,144.58,0,GBP,Scottish Power,ACC-UTIL-86484,NWBKGB2L,GB,False,GAS BILL,ONLINE_BANKING,False,COMPLETED
TXN-2024-0000015,ACC-UK-000001,2024-02-12 13:00:00,CARD_PAYMENT,DEBIT,149.71,0,GBP,Sainsbury's,ACC-RET-76784,NWBKGB2L,GB,False,CARD PAYMENT,MOBILE_APP,False,COMPLETED
TXN-2024-0000016,ACC-UK-000001,2024-02-03 10:00:00,CARD_PAYMENT,DEBIT,134.72,0,GBP,Sainsbury's,ACC-RET-92240,HBUKGB4B,GB,False,CARD PAYMENT,MOBILE_APP,False,COMPLETED
TXN-2024-0000017,ACC-UK-000001,2024-02-26 20:00:00,CARD_PAYMENT,DEBIT,86.44,0,GBP,Tesco,ACC-RET-60432,NWBKGB2L,GB,False,CARD PAYMENT,MOBILE_APP,False,COMPLETED
